reviewer,affiliation,no conflict,recent collaborator,advisor/advisee,institutional,personal,other
Mario Alvim,UFMG,,,,,,
Patricia Arias,Paderborn University,,,,,,
Frederik Armknecht,"University of Mannheim, Germany",,,,,,
Rishiraj Bhattacharyya,University of Birmingham,,,,,,
Erik Buchholz,University of New South Wales,,,,,,
Dung Bui,Sorbonne / LIP6,,,,,,
Yu Chen,Shandong University,,,,,,
Ke Cheng,Xidian university,,,,,,
Jiarun Dai,Fudan University,,,,,,
Xuhua Ding,Singapore Management University,,,,,,
Ye Dong,National University of Singapore,,,,,,
Dung Hoang Duong,University of Wollongong,,,,,,
Ellis Fenske,U.S. Naval Academy,,,,,,
Olivia Franzese-McLaughlin,Vector Institute,,,,,,
Christina Garman,Purdue University,,,,,,
Simon Hanisch,KIT,,,,,,
Meng Hao,Singapore Management University,,,,,,
David Heath,University of Illinois Urbana-Champaign,,,,,,
Haodong Jiang,Henan Key Laboratory of Network Cryptography Technology,,,,,,
Daniel Jost,New York University,,,,,,
Marc-Olivier Killijian,Université du Québec à Montréal,,,,,,
Keewoo Lee,Ethereum Foundation,,,,,,
Bei Liang,Beijing Institute of Mathematical Sciences and Applications,,,,,,
Mohamed Maouche,INRIA,,,,,,
Daniel Masny,Meta,,,,,,
Sebastian Meiser,Universität zu Lübeck,,,,,,
Omid Mir,AIT Austrian Institute Of Technology,,,,,,
Abhishek Mishra,Inria,,,,,,
Hiraku Morita,University of Southern Denmark,,,,,,
Yepeng Pan,CISPA Helmholtz Center for Information Security,,,,,,
Ludovic Perre,EPITA,,,,,,
Tran Viet Xuan Phuong,University of Arkansas at Little Rock,,,,,,
Eric Pohle,Aarhus University,,,,,,
Olivier Sanders,"Orange Labs, France",,,,,,
Daniel Schadt,Karlsruhe Institute of Technology,,,,,,
Wenbo Shen,Zhejiang University,,,,,,
Jaspal Singh,"Purdue University, Georgia Institute of Technology",,,,,,
Dokyung Song,Yonsei University,,,,,,
Igor Stepanovs,Amazon,,,,,,
Julian Todt,Karlsruhe Institute of Technology,,,,,,
Florian Tschorsch,TU Dresden,,,,,,
Jiafan Wang,CSIRO,,,,,,
Lixu Wang,Nanyang Technological University,,,,,,
Guomin Yang,Singapore Management University,,,,,,
Rupeng Yang,University of Wollongong,,,,,,
Cong Zhang,"Institute for Advanced Study, BNRist, Tsinghua University",,,,,,
Fangyu Zheng,University of Chinese Academy of Sciences,,,,,,
Weidong Zhu,Florida International University,,,,,,
Chaoshun Zuo,University of Electronic Science and Technology of China,,,,,,
